game_id,possession_id,curation_tag
1,1_P0001,
1,1_P0002,
1,1_P0003,
1,1_P0004,
1,1_P0005,
1,1_P0006,
1,1_P0007,
1,1_P0008,
1,1_P0009,
1,1_P0010,
1,1_P0011,
1,1_P0012,
1,1_P0013,
1,1_P0014,
1,1_P0015,
1,1_P0016,
1,1_P0017,
1,1_P0018,
1,1_P0019,
1,1_P0020,
1,1_P0021,
1,1_P0022,
1,1_P0023,
1,1_P0024,
1,1_P0025,
1,1_P0026,
1,1_P0027,
1,1_P0028,
1,1_P0029,
10,10_P0001,
10,10_P0002,
10,10_P0003,
10,10_P0004,
10,10_P0005,
10,10_P0006,
10,10_P0007,
10,10_P0008,
10,10_P0009,
10,10_P0010,
10,10_P0011,
10,10_P0012,
10,10_P0013,
10,10_P0014,
10,10_P0015,
10,10_P0016,
10,10_P0017,
10,10_P0018,
10,10_P0019,
10,10_P0020,
10,10_P0021,
10,10_P0022,
10,10_P0023,
10,10_P0024,
10,10_P0025,
10,10_P0026,
10,10_P0027,
11,11_P0001,
11,11_P0002,
11,11_P0003,
11,11_P0004,
11,11_P0005,
11,11_P0006,
11,11_P0007,
11,11_P0008,
11,11_P0009,
11,11_P0010,
11,11_P0011,
11,11_P0012,
2,2_P0001,
2,2_P0002,
2,2_P0003,
2,2_P0004,
2,2_P0005,
2,2_P0006,
2,2_P0007,
2,2_P0008,
2,2_P0009,
2,2_P0010,
2,2_P0011,
2,2_P0012,
2,2_P0013,
2,2_P0014,
2,2_P0015,
2,2_P0016,
2,2_P0017,
2,2_P0018,
2,2_P0019,
2,2_P0020,
2,2_P0021,
2,2_P0022,
2,2_P0023,
2,2_P0024,
3,3_P0001,
3,3_P0002,
3,3_P0003,
3,3_P0004,
3,3_P0005,
3,3_P0006,
3,3_P0007,
3,3_P0008,
3,3_P0009,
3,3_P0010,
3,3_P0011,
3,3_P0012,
3,3_P0013,
3,3_P0014,
3,3_P0015,
3,3_P0016,
3,3_P0017,
3,3_P0018,
3,3_P0019,
3,3_P0020,
3,3_P0021,
3,3_P0022,
3,3_P0023,
4,4_P0001,
4,4_P0002,
4,4_P0003,
4,4_P0004,
4,4_P0005,
4,4_P0006,
4,4_P0007,
4,4_P0008,
4,4_P0009,
4,4_P0010,
4,4_P0011,
4,4_P0012,
4,4_P0013,
4,4_P0014,
4,4_P0015,
4,4_P0016,
4,4_P0017,
4,4_P0018,
4,4_P0019,
4,4_P0020,
4,4_P0021,
4,4_P0022,
4,4_P0023,
4,4_P0024,
4,4_P0025,
5,5_P0001,
5,5_P0002,
5,5_P0003,
5,5_P0004,
5,5_P0005,
5,5_P0006,
5,5_P0007,
5,5_P0008,
5,5_P0009,
5,5_P0010,
5,5_P0011,
5,5_P0012,
5,5_P0013,
5,5_P0014,
5,5_P0015,
5,5_P0016,
5,5_P0017,
5,5_P0018,
5,5_P0019,
5,5_P0020,
5,5_P0021,
5,5_P0022,
5,5_P0023,
6,6_P0001,
6,6_P0002,
6,6_P0003,
6,6_P0004,
6,6_P0005,
6,6_P0006,
6,6_P0007,
6,6_P0008,
6,6_P0009,
6,6_P0010,
6,6_P0011,
6,6_P0012,
6,6_P0013,
6,6_P0014,
6,6_P0015,
6,6_P0016,
6,6_P0017,
6,6_P0018,
6,6_P0019,
6,6_P0020,
6,6_P0021,
6,6_P0022,
6,6_P0023,
6,6_P0024,
6,6_P0025,
6,6_P0026,
7,7_P0001,
7,7_P0002,
7,7_P0003,
7,7_P0004,
7,7_P0005,
7,7_P0006,
7,7_P0007,
7,7_P0008,
7,7_P0009,
7,7_P0010,
7,7_P0011,
7,7_P0012,
7,7_P0013,
7,7_P0014,
7,7_P0015,
7,7_P0016,
7,7_P0017,
7,7_P0018,
7,7_P0019,
7,7_P0020,
7,7_P0021,
7,7_P0022,
7,7_P0023,
7,7_P0024,
7,7_P0025,
7,7_P0026,
7,7_P0027,
7,7_P0028,
7,7_P0029,
7,7_P0030,
7,7_P0031,
7,7_P0032,
8,8_P0001,
8,8_P0002,
8,8_P0003,
8,8_P0004,
8,8_P0005,
8,8_P0006,
8,8_P0007,
8,8_P0008,
8,8_P0009,
8,8_P0010,
8,8_P0011,
8,8_P0012,
8,8_P0013,
8,8_P0014,
8,8_P0015,
8,8_P0016,
8,8_P0017,
8,8_P0018,
8,8_P0019,
8,8_P0020,
8,8_P0021,
8,8_P0022,
8,8_P0023,
9,9_P0001,
9,9_P0002,
9,9_P0003,
9,9_P0004,
9,9_P0005,
9,9_P0006,
9,9_P0007,
