game_id,possessions_weighted_un,shots_weighted_un,goals_weighted_un,shot_rate_un,goal_rate_un,turnovers_weighted_un,turnover_rate_un,ejections_drawn_weighted_un,ejections_per_poss_un,five_m_drawn_weighted_un,5m_per_poss_un,possessions_weighted_wt,shots_weighted_wt,goals_weighted_wt,shot_rate_wt,goal_rate_wt,turnovers_weighted_wt,turnover_rate_wt,ejections_drawn_weighted_wt,ejections_per_poss_wt,five_m_drawn_weighted_wt,5m_per_poss_wt,shot_rate_delta,goal_rate_delta,turnover_rate_delta
1,29.0,26.0,12.0,0.897,0.414,3.0,0.103,0.0,0.0,0.0,0.0,29.0,26.0,12.0,0.897,0.414,3.0,0.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,27.0,27.0,16.0,1.0,0.593,0.0,0.0,0.0,0.0,0.0,0.0,18.9,18.9,11.2,1.0,0.593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,12.0,12.0,7.0,1.0,0.583,0.0,0.0,0.0,0.0,0.0,0.0,8.4,8.4,4.9,1.0,0.583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,24.0,18.0,11.0,0.75,0.458,6.0,0.25,0.0,0.0,0.0,0.0,24.0,18.0,11.0,0.75,0.458,6.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,23.0,16.0,7.0,0.696,0.304,5.0,0.217,2.0,0.087,0.0,0.0,23.0,16.0,7.0,0.696,0.304,5.0,0.217,2.0,0.087,0.0,0.0,0.0,0.0,0.0
4,25.0,18.0,4.0,0.72,0.16,7.0,0.28,0.0,0.0,0.0,0.0,25.0,18.0,4.0,0.72,0.16,7.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,23.0,10.0,4.0,0.435,0.174,13.0,0.565,0.0,0.0,0.0,0.0,23.0,10.0,4.0,0.435,0.174,13.0,0.565,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,26.0,15.0,3.0,0.577,0.115,11.0,0.423,0.0,0.0,0.0,0.0,26.0,15.0,3.0,0.577,0.115,11.0,0.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,32.0,22.0,12.0,0.688,0.375,7.0,0.219,2.0,0.062,1.0,0.031,25.1,16.6,9.0,0.661,0.359,6.4,0.255,1.4,0.056,0.7,0.028,-0.026999999999999913,-0.016000000000000014,0.036000000000000004
8,23.0,23.0,17.0,1.0,0.739,0.0,0.0,0.0,0.0,0.0,0.0,16.1,16.1,11.9,1.0,0.739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,7.0,7.0,2.0,1.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,4.9,4.9,1.4,1.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
