possession_id,field,value
1_P0001,shooter_x,
1_P0001,shooter_y,
1_P0002,shooter_x,
1_P0002,shooter_y,
1_P0003,shooter_x,
1_P0003,shooter_y,
1_P0006,shooter_x,
1_P0006,shooter_y,
1_P0007,shooter_x,
1_P0007,shooter_y,
1_P0008,shooter_x,
1_P0008,shooter_y,
1_P0009,shooter_x,
1_P0009,shooter_y,
1_P0011,shooter_x,
1_P0011,shooter_y,
10_P0002,shooter_x,
10_P0002,shooter_y,
10_P0003,shooter_x,
10_P0003,shooter_y,
10_P0004,shooter_x,
10_P0004,shooter_y,
10_P0005,shooter_x,
10_P0005,shooter_y,
10_P0006,shooter_x,
10_P0006,shooter_y,
10_P0007,shooter_x,
10_P0007,shooter_y,
10_P0008,shooter_x,
10_P0008,shooter_y,
11_P0001,shooter_x,
11_P0001,shooter_y,
11_P0002,shooter_x,
11_P0002,shooter_y,
11_P0003,shooter_x,
11_P0003,shooter_y,
11_P0004,shooter_x,
11_P0004,shooter_y,
11_P0005,shooter_x,
11_P0005,shooter_y,
11_P0006,shooter_x,
11_P0006,shooter_y,
11_P0007,shooter_x,
11_P0007,shooter_y,
11_P0008,shooter_x,
11_P0008,shooter_y,
12_P0001,shooter_x,
12_P0001,shooter_y,
12_P0002,shooter_x,
12_P0002,shooter_y,
12_P0003,shooter_x,
12_P0003,shooter_y,
12_P0004,shooter_x,
12_P0004,shooter_y,
13_P0001,shooter_x,
13_P0001,shooter_y,
13_P0002,shooter_x,
13_P0002,shooter_y,
14_P0001,shooter_x,
14_P0001,shooter_y,
15_P0001,shooter_x,
15_P0001,shooter_y,
15_P0002,shooter_x,
15_P0002,shooter_y,
2_P0001,shooter_x,
2_P0001,shooter_y,
2_P0002,shooter_x,
2_P0002,shooter_y,
2_P0003,shooter_x,
2_P0003,shooter_y,
2_P0004,shooter_x,
2_P0004,shooter_y,
2_P0005,shooter_x,
2_P0005,shooter_y,
2_P0006,shooter_x,
2_P0006,shooter_y,
2_P0007,shooter_x,
2_P0007,shooter_y,
2_P0009,shooter_x,
2_P0009,shooter_y,
3_P0001,shooter_x,
3_P0001,shooter_y,
3_P0002,shooter_x,
3_P0002,shooter_y,
3_P0004,shooter_x,
3_P0004,shooter_y,
3_P0005,shooter_x,
3_P0005,shooter_y,
3_P0006,shooter_x,
3_P0006,shooter_y,
3_P0007,shooter_x,
3_P0007,shooter_y,
3_P0008,shooter_x,
3_P0008,shooter_y,
3_P0009,shooter_x,
3_P0009,shooter_y,
4_P0001,shooter_x,
4_P0001,shooter_y,
4_P0002,shooter_x,
4_P0002,shooter_y,
4_P0004,shooter_x,
4_P0004,shooter_y,
4_P0005,shooter_x,
4_P0005,shooter_y,
4_P0006,shooter_x,
4_P0006,shooter_y,
4_P0008,shooter_x,
4_P0008,shooter_y,
4_P0009,shooter_x,
4_P0009,shooter_y,
4_P0012,shooter_x,
4_P0012,shooter_y,
5_P0002,shooter_x,
5_P0002,shooter_y,
5_P0010,shooter_x,
5_P0010,shooter_y,
5_P0012,shooter_x,
5_P0012,shooter_y,
5_P0014,shooter_x,
5_P0014,shooter_y,
5_P0016,shooter_x,
5_P0016,shooter_y,
5_P0017,shooter_x,
5_P0017,shooter_y,
5_P0018,shooter_x,
5_P0018,shooter_y,
5_P0019,shooter_x,
5_P0019,shooter_y,
6_P0001,shooter_x,
6_P0001,shooter_y,
6_P0003,shooter_x,
6_P0003,shooter_y,
6_P0004,shooter_x,
6_P0004,shooter_y,
6_P0005,shooter_x,
6_P0005,shooter_y,
6_P0006,shooter_x,
6_P0006,shooter_y,
6_P0009,shooter_x,
6_P0009,shooter_y,
6_P0010,shooter_x,
6_P0010,shooter_y,
6_P0013,shooter_x,
6_P0013,shooter_y,
7_P0003,shooter_x,
7_P0003,shooter_y,
7_P0004,shooter_x,
7_P0004,shooter_y,
7_P0008,shooter_x,
7_P0008,shooter_y,
7_P0009,shooter_x,
7_P0009,shooter_y,
7_P0013,shooter_x,
7_P0013,shooter_y,
7_P0014,shooter_x,
7_P0014,shooter_y,
7_P0015,shooter_x,
7_P0015,shooter_y,
7_P0016,shooter_x,
7_P0016,shooter_y,
8_P0001,shooter_x,
8_P0001,shooter_y,
8_P0002,shooter_x,
8_P0002,shooter_y,
8_P0003,shooter_x,
8_P0003,shooter_y,
8_P0004,shooter_x,
8_P0004,shooter_y,
8_P0005,shooter_x,
8_P0005,shooter_y,
8_P0006,shooter_x,
8_P0006,shooter_y,
8_P0007,shooter_x,
8_P0007,shooter_y,
8_P0008,shooter_x,
8_P0008,shooter_y,
9_P0001,shooter_x,
9_P0001,shooter_y,
9_P0002,shooter_x,
9_P0002,shooter_y,
9_P0003,shooter_x,
9_P0003,shooter_y,
9_P0004,shooter_x,
9_P0004,shooter_y,
9_P0005,shooter_x,
9_P0005,shooter_y,
9_P0006,shooter_x,
9_P0006,shooter_y,
9_P0007,shooter_x,
9_P0007,shooter_y,
10_P0001,shooter_x,1.3282
10_P0001,shooter_y,3.9710
