opponent_team_level,angle_bin,n,goals,pred_sum,pred_mean,obs_rate,brier,calibration_gap,abs_gap,model
CA Club,0-15,28,16,14.106411297765602,0.5038004034916287,0.5714285714285714,0.3592650088187638,0.0676281679369427,0.0676281679369427,hgb
CA Club,15-30,12,6,7.436325696267686,0.6196938080223072,0.5,0.49122142246777806,-0.11969380802230722,0.11969380802230722,hgb
CA Club,30-45,9,2,4.322778817835565,0.480308757537285,0.2222222222222222,0.22156492680105766,-0.2580865353150628,0.2580865353150628,hgb
CA Club,45-90,15,7,8.339000328811542,0.5559333552541028,0.4666666666666667,0.4049127114170893,-0.08926668858743614,0.08926668858743614,hgb
College,0-15,9,2,5.127691480174736,0.5697434977971929,0.2222222222222222,0.30576910101892846,-0.3475212755749707,0.3475212755749707,hgb
College,15-30,9,4,6.219499044894088,0.6910554494326765,0.4444444444444444,0.4530326640130219,-0.24661100498823207,0.24661100498823207,hgb
College,30-45,3,0,0.0745588718837297,0.024852957294576566,0.0,0.000843502904665141,-0.024852957294576566,0.024852957294576566,hgb
College,45-90,7,2,3.995879780119327,0.5708399685884753,0.2857142857142857,0.39024225310760025,-0.2851256828741896,0.2851256828741896,hgb
IL Club,0-15,16,7,7.697665632708032,0.481104102044252,0.4375,0.20011988355231877,-0.043604102044252024,0.043604102044252024,hgb
IL Club,15-30,11,7,7.430890650174318,0.6755355136522107,0.6363636363636364,0.23988712407830626,-0.0391718772885743,0.0391718772885743,hgb
IL Club,30-45,10,3,5.298189189345871,0.5298189189345871,0.3,0.2390428378122122,-0.2298189189345871,0.2298189189345871,hgb
IL Club,45-90,23,13,10.39648604004099,0.45202113217569523,0.5652173913043478,0.2654135701476803,0.11319625912865255,0.11319625912865255,hgb
IL HS,0-15,6,5,1.42507296456901,0.23751216076150164,0.8333333333333334,0.4751935399081015,0.5958211725718318,0.5958211725718318,hgb
IL HS,15-30,4,2,2.757656168278874,0.6894140420697185,0.5,0.27253172011192006,-0.18941404206971846,0.18941404206971846,hgb
IL HS,30-45,6,6,0.47706796444354205,0.07951132740725701,1.0,0.8650035469374755,0.920488672592743,0.920488672592743,hgb
IL HS,45-90,19,11,11.033925731815867,0.5807329332534666,0.5789473684210527,0.20839382669050882,-0.0017855648324139883,0.0017855648324139883,hgb
ODP Zone,0-15,2,1,1.0786008189896665,0.5393004094948333,0.5,0.09588935265245536,-0.039300409494833266,0.039300409494833266,hgb
ODP Zone,15-30,1,0,0.022070720477991693,0.022070720477991693,0.0,0.0004871167024176419,-0.022070720477991693,0.022070720477991693,hgb
ODP Zone,45-90,4,1,2.178611244383774,0.5446528110959435,0.25,0.15023534758822749,-0.29465281109594355,0.29465281109594355,hgb
