opponent_team_level,distance_bin,n,goals,pred_sum,pred_mean,obs_rate,brier,calibration_gap,abs_gap,model
CA Club,0-5,26,16,19.84463054328147,0.7632550208954411,0.6153846153846154,0.3046563643009304,-0.14787040551082564,0.14787040551082564,hgb
CA Club,5-10,38,15,14.359885597398929,0.37789172624734024,0.39473684210526316,0.42370491729422083,0.01684511585792292,0.01684511585792292,hgb
College,0-5,9,4,8.129013078234788,0.9032236753594209,0.4444444444444444,0.4228445153509176,-0.4587792309149765,0.4587792309149765,hgb
College,15-20,1,0,0.2832040323261981,0.2832040323261981,0.0,0.08020452392581827,-0.2832040323261981,0.2832040323261981,hgb
College,5-10,18,4,7.005412066510895,0.3891895592506053,0.2222222222222222,0.3154242779817041,-0.16696733702838307,0.16696733702838307,hgb
IL Club,0-5,26,18,19.56651242446706,0.75255817017181,0.6923076923076923,0.21390939022199765,-0.060250477864117746,0.060250477864117746,hgb
IL Club,5-10,34,12,11.256719087802152,0.3310799731706515,0.35294117647058826,0.2580580249248618,0.021861203299936738,0.021861203299936738,hgb
IL HS,0-5,23,20,11.685841335379248,0.5080800580599673,0.8695652173913043,0.411122178618519,0.36148515933133707,0.36148515933133707,hgb
IL HS,15-20,1,1,0.03271245934465397,0.03271245934465397,1.0,0.9356451863070677,0.9672875406553461,0.9672875406553461,hgb
IL HS,5-10,11,3,3.97516903438339,0.3613790031257627,0.2727272727272727,0.24539425582798205,-0.08865173039849,0.08865173039849,hgb
ODP Zone,0-5,2,1,1.494542157888854,0.747271078944427,0.5,0.12427606028555237,-0.24727107894442701,0.24727107894442701,hgb
ODP Zone,5-10,5,1,1.7847406259625784,0.3569481251925157,0.2,0.1089310183578267,-0.15694812519251566,0.15694812519251566,hgb
