possession_id,game_id,video_file,video_timestamp_mmss,xg
1_P0001,1,IMG_6154.MOV,00:18,0.9220157589090268
1_P0002,1,IMG_6155.MOV,00:39,0.989085470708945
1_P0003,1,IMG_6156.MOV,00:29,0.03609984699615123
1_P0006,1,IMG_6162.MOV,00:31,0.05037950912157296
1_P0007,1,IMG_6164.MOV,00:17,0.025209701866425002
1_P0008,1,IMG_6165.MOV,00:11,0.2405539767406996
1_P0009,1,IMG_6166.MOV,00:16,0.14121507915818687
1_P0011,1,IMG_6169.MOV,00:24,0.9688506553551773
1_P0012,1,IMG_6171.MOV,00:17,0.994073170739044
1_P0013,1,IMG_6173.MOV,00:34,0.01869677118595263
1_P0014,1,IMG_6175.MOV,00:16,0.13682660879157943
1_P0015,1,IMG_6177.MOV,00:13,0.6347245971300898
1_P0016,1,IMG_6179.MOV,00:10,0.7415970171969242
1_P0017,1,IMG_6181.MOV,00:20,0.559109814930785
1_P0018,1,IMG_6183.MOV,00:26,0.06401796595661743
1_P0019,1,IMG_6184.MOV,00:38,0.3636270119165408
1_P0020,1,IMG_6186.MOV,00:41,0.21301453643498028
1_P0021,1,IMG_6189.MOV,00:10,0.13861067631358018
1_P0022,1,IMG_6190.MOV,00:15,0.9630781026617391
1_P0023,1,IMG_6194.MOV,00:09,0.8601775683361584
1_P0024,1,IMG_6196.MOV,00:06,0.8197549608356108
1_P0025,1,IMG_6197.MOV,00:27,0.9474775603035507
1_P0026,1,IMG_6200.MOV,00:05,0.9878108532427655
1_P0027,1,IMG_6202.MOV,00:15,0.72033119296433
1_P0028,1,IMG_6204.MOV,00:23,0.76688878876867
1_P0029,1,IMG_6207.MOV,00:10,0.9918471949527772
4_P0001,4,IMG_2598.MOV,00:24,0.9839943108905227
4_P0002,4,IMG_2600.MOV,00:16,0.9998853644664174
4_P0004,4,IMG_2604.MOV,00:34,0.9958864577228784
4_P0005,4,IMG_2606.MOV,00:21,0.9915514596676334
4_P0006,4,IMG_2608.MOV,00:31,0.722463084279233
4_P0008,4,IMG_2612.MOV,00:16,0.9996726242634847
4_P0009,4,IMG_2613.MOV,00:15,0.9990345956794959
4_P0012,4,IMG_2618.MOV,00:19,0.9901752148980112
4_P0014,4,IMG_2622.MOV,00:43,0.992950849651635
4_P0015,4,IMG_2624.MOV,00:28,0.9629164909719302
4_P0017,4,IMG_2626.MOV,00:45,0.3553595376298918
4_P0018,4,IMG_2628.MOV,00:14,0.5509108515781731
4_P0020,4,IMG_2633.MOV,00:23,0.3574065396829955
4_P0021,4,IMG_2635.MOV,00:19,0.021756896853400976
4_P0022,4,IMG_2636.MOV,00:37,0.05352276681821348
4_P0023,4,IMG_2638.MOV,00:31,0.7936186496322032
4_P0024,4,IMG_2638.MOV,00:34,0.9903082807103266
4_P0025,4,IMG_2638.MOV,00:35,0.9880922562326148
8_P0001,8,IMG_3689.MOV,00:34,0.9830947981011298
8_P0002,8,IMG_3692.MOV,00:15,0.9991241297353842
8_P0003,8,IMG_3694.MOV,00:27,0.898593490431646
8_P0004,8,IMG_3695.MOV,00:48,0.6116137836967915
8_P0005,8,IMG_3696.MOV,00:51,0.5500200422099707
8_P0006,8,IMG_3697.MOV,00:36,0.7332930799395546
8_P0007,8,IMG_3698.MOV,00:36,0.2816406050776295
8_P0008,8,IMG_3700.MOV,00:26,0.7627016499902856
8_P0009,8,IMG_3702.MOV,00:40,0.5998099668554399
8_P0010,8,IMG_3704.MOV,00:19,0.020210217813967948
8_P0011,8,IMG_3706.MOV,00:41,0.8137280211528073
8_P0012,8,IMG_3707.MOV,00:59,0.23188702825891053
8_P0013,8,IMG_3709.MOV,00:11,0.06196994119762777
8_P0014,8,IMG_3713.MOV,00:25,0.47918570764253327
8_P0015,8,IMG_3714.MOV,00:24,0.9110543593684776
8_P0016,8,IMG_3716.MOV,00:23,0.32603805091683524
8_P0017,8,IMG_3717.MOV,00:54,0.2175241685663881
8_P0018,8,IMG_3719.MOV,00:27,0.30724346468766667
8_P0019,8,IMG_3726.MOV,00:12,0.6575729510773669
8_P0020,8,IMG_3730.MOV,00:05,0.49574375467240095
8_P0021,8,IMG_3731.MOV,00:31,0.720147740364382
8_P0022,8,IMG_3733.MOV,00:13,0.03155724525183034
8_P0023,8,IMG_3734.MOV,00:44,0.16952881896256605
